,2,53,59,210,474,603,700,1368,1446,1690,1785,
2,0,51,57,208,472,601,698,1366,1444,1688,1783,
53,51,0,6,157,421,550,647,1315,1393,1637,1732,
59,57,6,0,151,415,544,641,1309,1387,1631,1726,
210,208,157,151,0,264,393,490,1158,1236,1480,1575,
474,472,421,415,264,0,129,226,894,972,1216,1311,
603,601,550,544,393,129,0,97,765,843,1087,1182,
700,698,647,641,490,226,97,0,668,746,990,1085,
1368,1366,1315,1309,1158,894,765,668,0,78,322,417,
1446,1444,1393,1387,1236,972,843,746,78,0,244,339,
1690,1688,1637,1631,1480,1216,1087,990,322,244,0,95,
1785,1783,1732,1726,1575,1311,1182,1085,417,339,95,0,
